t,x,x_dot
16.6724183006536,45.8129777777778,-3.27111111111111
16.6824183006536,45.7802027777778,-3.28388888888889
16.6924183006536,45.7473,-3.29666666666667
16.7024183006536,45.7142694444444,-3.30944444444444
16.7124183006536,45.6811111111111,-3.32222222222222
16.7224183006536,45.647825,-3.335
16.7324183006536,45.6144111111111,-3.34777777777778
16.7424183006536,45.5808694444444,-3.36055555555556
16.7524183006536,45.5472,-3.37333333333333
16.7624183006536,45.5134027777778,-3.38611111111111
16.7724183006536,45.4794777777778,-3.39888888888889
16.7824183006536,45.445425,-3.41166666666667
16.7924183006536,45.4112444444444,-3.42444444444444
16.8024183006536,45.3769361111111,-3.43722222222222
16.8124183006536,45.3425,-3.45
16.8224183006536,45.3079361111111,-3.46277777777778
16.8324183006536,45.2732444444444,-3.47555555555556
16.8424183006536,45.238425,-3.48833333333333
16.8524183006536,45.2034777777778,-3.50111111111111
16.8624183006536,45.1684027777778,-3.51388888888889
16.8724183006536,45.1332,-3.52666666666667
16.8824183006536,45.0978694444444,-3.53944444444444
16.8924183006536,45.0624111111111,-3.55222222222222
16.9024183006536,45.026825,-3.565
16.9124183006536,44.9911111111111,-3.57777777777778
16.9224183006536,44.9552694444444,-3.59055555555556
16.9324183006536,44.9193,-3.60333333333333
16.9424183006536,44.8832027777778,-3.61611111111111
16.9524183006536,44.8469777777778,-3.62888888888889
16.9624183006536,44.810625,-3.64166666666667
16.9724183006536,44.7741444444444,-3.65444444444444
16.9824183006536,44.7375361111111,-3.66722222222222
16.9924183006536,44.7008,-3.68
17.0024183006536,44.6639361111111,-3.69277777777778
17.0124183006536,44.6269444444444,-3.70555555555556
17.0224183006536,44.589825,-3.71833333333333
17.0324183006536,44.5525777777778,-3.73111111111111
17.0424183006536,44.5152027777778,-3.74388888888889
17.0524183006536,44.4777,-3.75666666666667
17.0624183006536,44.4400694444444,-3.76944444444444
17.0724183006536,44.4023111111111,-3.78222222222222
17.0824183006536,44.364425,-3.795
17.0924183006536,44.3264111111111,-3.80777777777778
17.1024183006536,44.2882694444444,-3.82055555555556
17.1124183006536,44.25,-3.83333333333333
17.1224183006536,44.2116027777778,-3.84611111111111
17.1324183006536,44.1730777777778,-3.85888888888889
17.1424183006536,44.134425,-3.87166666666667
17.1524183006536,44.0956444444444,-3.88444444444444
